time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,11,0,0
2020-02-28 16:00:00+09:00,14,0,0
2020-02-29 16:00:00+09:00,17,0,0
2020-03-01 16:00:00+09:00,20,0,0
2020-03-11 00:00:00+09:00,25,2,0
2020-03-12 00:00:00+09:00,25,3,0
2020-03-13 00:00:00+09:00,27,3,0
2020-03-14 00:00:00+09:00,27,5,0
2020-03-15 00:00:00+09:00,28,6,0
2020-03-16 00:00:00+09:00,28,7,0
2020-03-17 00:00:00+09:00,28,8,0
2020-03-18 00:00:00+09:00,30,9,0
2020-03-19 00:00:00+09:00,36,9,0
2020-03-20 00:00:00+09:00,36,11,0
2020-03-21 00:00:00+09:00,36,11,0
2020-03-22 00:00:00+09:00,36,12,0
2020-03-23 00:00:00+09:00,36,17,0
2020-03-24 00:00:00+09:00,36,18,0
2020-03-25 00:00:00+09:00,37,19,0
2020-03-26 00:00:00+09:00,37,20,0
2020-03-27 00:00:00+09:00,39,20,0
2020-03-28 00:00:00+09:00,39,19,0
2020-03-29 00:00:00+09:00,39,19,0
2020-03-30 00:00:00+09:00,39,19,0
2020-03-31 00:00:00+09:00,39,19,0
2020-04-01 00:00:00+09:00,39,20,1
2020-04-02 00:00:00+09:00,40,21,1
2020-04-03 00:00:00+09:00,40,21,1
2020-04-04 00:00:00+09:00,40,24,1
2020-04-05 00:00:00+09:00,40,27,1
2020-04-06 00:00:00+09:00,40,27,1
2020-04-07 00:00:00+09:00,40,28,1
2020-04-08 00:00:00+09:00,40,28,1
2020-04-09 00:00:00+09:00,40,28,1
2020-04-10 00:00:00+09:00,40,1,26
2020-04-11 00:00:00+09:00,41,1,26
2020-04-12 00:00:00+09:00,41,1,24
2020-04-13 00:00:00+09:00,41,1,24
2020-04-14 00:00:00+09:00,42,1,25
2020-04-15 00:00:00+09:00,42,1,25
2020-04-16 00:00:00+09:00,42,1,25
2020-04-17 00:00:00+09:00,42,1,22
2020-04-18 00:00:00+09:00,42,1,21
2020-04-19 00:00:00+09:00,42,1,17
2020-04-20 00:00:00+09:00,43,1,17
2020-04-21 00:00:00+09:00,43,1,17
2020-04-22 00:00:00+09:00,43,1,13
2020-04-23 00:00:00+09:00,43,1,12
2020-04-24 00:00:00+09:00,43,1,12
2020-04-25 00:00:00+09:00,43,1,11
2020-04-26 00:00:00+09:00,43,1,11
2020-04-27 00:00:00+09:00,43,1,11
2020-04-28 00:00:00+09:00,43,1,11
2020-04-29 00:00:00+09:00,43,1,10
2020-04-30 00:00:00+09:00,43,1,8
2020-05-01 00:00:00+09:00,43,1,7
2020-05-02 00:00:00+09:00,43,1,5
2020-05-03 00:00:00+09:00,43,1,4
2020-05-04 00:00:00+09:00,44,1,2
2020-05-05 00:00:00+09:00,44,1,1
2020-05-06 00:00:00+09:00,44,1,1
2020-05-07 00:00:00+09:00,44,1,1
2020-05-08 00:00:00+09:00,44,1,1
2020-05-09 00:00:00+09:00,44,1,1
2020-05-10 00:00:00+09:00,44,1,1
2020-05-11 00:00:00+09:00,44,1,2
2020-05-12 00:00:00+09:00,44,1,2
2020-05-13 00:00:00+09:00,45,1,1
2020-05-14 00:00:00+09:00,45,1,1
2020-05-15 00:00:00+09:00,45,1,0
2020-05-16 00:00:00+09:00,45,1,0
2020-05-17 00:00:00+09:00,45,1,0
2020-05-18 00:00:00+09:00,45,1,0
2020-05-19 00:00:00+09:00,49,1,1
2020-05-20 00:00:00+09:00,49,1,0
2020-05-21 00:00:00+09:00,49,1,0
2020-05-22 00:00:00+09:00,50,1,0
2020-05-23 00:00:00+09:00,50,1,0
2020-05-24 00:00:00+09:00,50,1,0
2020-05-25 00:00:00+09:00,50,1,0
2020-05-26 00:00:00+09:00,50,1,0
2020-05-27 00:00:00+09:00,50,1,0
2020-05-28 00:00:00+09:00,50,1,0
2020-05-29 00:00:00+09:00,50,1,0
2020-05-30 00:00:00+09:00,50,1,0
2020-05-31 00:00:00+09:00,52,1,0
2020-06-01 00:00:00+09:00,52,1,0
2020-06-02 00:00:00+09:00,52,1,0
2020-06-03 00:00:00+09:00,52,1,0
2020-06-04 00:00:00+09:00,52,1,0
2020-06-05 00:00:00+09:00,52,1,0
2020-06-07 00:00:00+09:00,53,1,0
2020-06-08 00:00:00+09:00,53,1,0
2020-06-09 00:00:00+09:00,53,1,0
2020-06-10 00:00:00+09:00,53,1,0
2020-06-11 00:00:00+09:00,53,1,0
2020-06-12 00:00:00+09:00,53,1,0
2020-06-13 00:00:00+09:00,53,1,0
