time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,1132,3,4
2020-02-28 16:00:00+09:00,1579,4,4
2020-02-29 16:00:00+09:00,2236,4,8
2020-03-01 23:00:00+09:00,2705,5,13
2020-03-11 00:00:00+09:00,5794,102,43
2020-03-12 00:00:00+09:00,5867,114,48
2020-03-13 00:00:00+09:00,5928,251,48
2020-03-14 00:00:00+09:00,5990,401,51
2020-03-15 00:00:00+09:00,6031,468,53
2020-03-16 00:00:00+09:00,6066,734,53
2020-03-17 00:00:00+09:00,6098,947,57
2020-03-18 00:00:00+09:00,6144,1048,58
2020-03-19 00:00:00+09:00,6241,1382,65
