time,confirmed,recovered,deaths
2020-03-09 00:00:00-03:00,0,0,0
2020-03-10 00:00:00-03:00,0,0,0
2020-03-13 00:00:00-03:00,0,0,0
2020-03-14 00:00:00-03:00,0,0,0
2020-03-15 00:00:00-03:00,0,0,0
2020-03-16 00:00:00-03:00,1,0,0
2020-03-17 00:00:00-03:00,1,0,0
2020-03-18 00:00:00-03:00,1,0,0
2020-03-19 00:00:00-03:00,1,0,0
2020-03-20 00:00:00-03:00,1,0,0
2020-03-21 00:00:00-03:00,1,0,0
2020-03-22 00:00:00-03:00,1,0,0
2020-03-23 00:00:00-03:00,4,0,0
2020-03-24 00:00:00-03:00,6,0,0
2020-03-25 00:00:00-03:00,11,0,0
2020-03-26 00:00:00-03:00,14,0,0
